prompt,generated_answer
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Зліва щелепи вовчі клацають , а справа костомахи з черепами танцюють .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Зліва щелепи вовчі клацають , а справа костомахи з черепами танцюють .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Дурний він !

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Дурний він !

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У поході козак горілки не п’є , а лиш на землю виливає ! Проблем зі здоров'ям , судячи з усього , письменник не мав .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У поході козак горілки не п’є , а лиш на землю виливає ! Проблем зі здоров'ям , судячи з усього , письменник не мав .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
За півроку до зникнення під час одного з літературних форумів його прооперували на гострий апендицит .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
За півроку до зникнення під час одного з літературних форумів його прооперували на гострий апендицит .

### Entities:
PERIOD: півроку"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У справі були численні супутні медичні обстеження , проведені до та після операції , і вони свідчили , що Чумак був цілком здоровий .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У справі були численні супутні медичні обстеження , проведені до та після операції , і вони свідчили , що Чумак був цілком здоровий .

### Entities:
PERS: Чумак"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У березні цього року він поїхав у такий собі тур весняного полювання на гусей та качок . Чотири дні був у Черкаській області на водосховищі , потім тиждень у Херсонській .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У березні цього року він поїхав у такий собі тур весняного полювання на гусей та качок . Чотири дні був у Черкаській області на водосховищі , потім тиждень у Херсонській .

### Entities:
DATE: березні цього року
PERIOD: Чотири дні
LOC: Черкаській області
PERIOD: тиждень
LOC: Херсонській"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
I там , і там його пам'ятали в обласних та районних УТМР , де письменник оформляв дозвіл на полювання , знаходилися свідки й серед мисливців на місцях . Весна цього року була рання .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
I там , і там його пам'ятали в обласних та районних УТМР , де письменник оформляв дозвіл на полювання , знаходилися свідки й серед мисливців на місцях . Весна цього року була рання .

### Entities:
ORG: УТМР
DATE: Весна цього року"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Озера розмерзлися і Чумак полював з човна на гусей , живучи із собакою на мисливських базах . Двадцять першого березня його востаннє бачили на базі « В'юнище » поблизу Олександрівки . Письменник удосвіта здав номер , сів у машину і виїхав з території бази .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Озера розмерзлися і Чумак полював з човна на гусей , живучи із собакою на мисливських базах . Двадцять першого березня його востаннє бачили на базі « В'юнище » поблизу Олександрівки . Письменник удосвіта здав номер , сів у машину і виїхав з території бази .

### Entities:
PERS: Чумак
ORG: В'юнище
LOC: Олександрівки
JOB: Письменник
LOC: Олександрівки"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Свідків , що бачили б його після цього , у справі не було .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Свідків , що бачили б його після цього , у справі не було .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
I все ж , на цей момент Андріан Чумак ще не зник на зовсім .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
I все ж , на цей момент Андріан Чумак ще не зник на зовсім .

### Entities:
PERS: Андріан Чумак"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Він телефонував сам і відповідав на телефонні дзвінки ще день .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Він телефонував сам і відповідав на телефонні дзвінки ще день .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Щоправда , жоден з тих , хто говорив з ним , не міг пригадати нічого про місце його перебування .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Щоправда , жоден з тих , хто говорив з ним , не міг пригадати нічого про місце його перебування .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Про це мова не велася .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Про це мова не велася .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Троє з його співрозмовників навіть запитали : а де ти зараз ?

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Троє з його співрозмовників навіть запитали : а де ти зараз ?

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Відповідь була – ловлю рибу .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Відповідь була – ловлю рибу .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
I це одразу ж породжувало дві версії : перша – останню добу перед зникненням Чумак також провів біля води , а отже і сліди його перебування потрібно шукати на якійсь водоймі ; друга – письменник збрехав : він не ловив рибу або ж просто навмисне не називав місця свого перебування .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
I це одразу ж породжувало дві версії : перша – останню добу перед зникненням Чумак також провів біля води , а отже і сліди його перебування потрібно шукати на якійсь водоймі ; друга – письменник збрехав : він не ловив рибу або ж просто навмисне не називав місця свого перебування .

### Entities:
PERS: Чумак
JOB: письменник"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Отже , не бажав , аби хтось про нього знав .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Отже , не бажав , аби хтось про нього знав .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Троє співрозмовників засвідчили , згідно з матеріалами справи , що Чумак був у бадьорому настрої .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Троє співрозмовників засвідчили , згідно з матеріалами справи , що Чумак був у бадьорому настрої .

### Entities:
PERS: Чумак"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Усі , навіть хто не цікавився місцем перебування письменника , чули його задоволений голос і жарти – мова новоявленого класика була багатою .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Усі , навіть хто не цікавився місцем перебування письменника , чули його задоволений голос і жарти – мова новоявленого класика була багатою .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Двоє з тих , про кого йшлося , під час розмови начебто чули цвірінькання птахів .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Двоє з тих , про кого йшлося , під час розмови начебто чули цвірінькання птахів .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Інший – звуки вітру .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Інший – звуки вітру .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Він же свідчив про те , що двічі чув гавкання собаки .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Він же свідчив про те , що двічі чув гавкання собаки .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У справі вказувалася і точна година його розмови , першої після виїзду з бази « В'юнище » . Восьма сорок .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У справі вказувалася і точна година його розмови , першої після виїзду з бази « В'юнище » . Восьма сорок .

### Entities:
ORG: В'юнище
TIME: Восьма сорок"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Якщо брати до уваги свідчення сторожів , що її територію він залишив о пів на четверту ранку , то теоретично майже за шість годин , маючи надійну машину , по майже вільній у такі години трасі можна було проїхати не менше п'ятисот - шестисот кілометрів .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Якщо брати до уваги свідчення сторожів , що її територію він залишив о пів на четверту ранку , то теоретично майже за шість годин , маючи надійну машину , по майже вільній у такі години трасі можна було проїхати не менше п'ятисот - шестисот кілометрів .

### Entities:
TIME: пів на четверту ранку
PERIOD: шість годин
QUANT: п'ятисот - шестисот кілометрів"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Олівцем я обвів на карті приблизне коло , центром якого була база у Херсонській області .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Олівцем я обвів на карті приблизне коло , центром якого була база у Херсонській області .

### Entities:
LOC: Херсонській області"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Виходило дай Боже ...

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Виходило дай Боже ...

### Entities:
PERS: Боже"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Вивчивши матеріали слідства , я взявся за конкретну роботу .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Вивчивши матеріали слідства , я взявся за конкретну роботу .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Так би мовити , вдався до власних дій .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Так би мовити , вдався до власних дій .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
I почав із зустрічі з Оленою Чумак .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
I почав із зустрічі з Оленою Чумак .

### Entities:
PERS: Оленою Чумак"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У моїй кишені ще не було посвідчення приватного детектива , що певним чином відкривало б можливості для роботи зі свідками та виконання інших слідчих дій .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У моїй кишені ще не було посвідчення приватного детектива , що певним чином відкривало б можливості для роботи зі свідками та виконання інших слідчих дій .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Поки я ще був « ніким » , вона ж , якщо вірити , – людиною , зацікавленою у розшуку письменника , тому мала сприяти мені і без документа .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Поки я ще був « ніким » , вона ж , якщо вірити , – людиною , зацікавленою у розшуку письменника , тому мала сприяти мені і без документа .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Принаймні так твердило моє перше Я , спираючись на просту логіку .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Принаймні так твердило моє перше Я , спираючись на просту логіку .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Та друге також не мовчало , вставляючи зовсім не до місця свої п'ять копійок .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Та друге також не мовчало , вставляючи зовсім не до місця свої п'ять копійок .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Воно оживляло у пам'яті образ гарної жінки , який випромінював гідність , розум і вишукані манери .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Воно оживляло у пам'яті образ гарної жінки , який випромінював гідність , розум і вишукані манери .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Жінки , що упродовж півгодини сиділа поруч зі мною і чия присутність , можливо , таки вплинула на моє кінцеве рішення . « Цей захід крім користі для справи буде ще й приємним » , – уперто стверджувало воно .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Жінки , що упродовж півгодини сиділа поруч зі мною і чия присутність , можливо , таки вплинула на моє кінцеве рішення . « Цей захід крім користі для справи буде ще й приємним » , – уперто стверджувало воно .

### Entities:
PERIOD: півгодини"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Перериваючи нікому не потрібну полеміку своїх складових , я рішуче взяв телефон .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Перериваючи нікому не потрібну полеміку своїх складових , я рішуче взяв телефон .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Зрозуміло , час не марнувався і без Олени .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Зрозуміло , час не марнувався і без Олени .

### Entities:
PERS: Олени"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Ще у ресторані Андрійович передав мені пакунок з копіями компакт-дисків , вилучених при обшуку на квартирі Чумака після його зникнення .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Ще у ресторані Андрійович передав мені пакунок з копіями компакт-дисків , вилучених при обшуку на квартирі Чумака після його зникнення .

### Entities:
PERS: Андрійович
PERS: Чумака"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Як усі письменники , Чумак періодично скидав інформацію зі свого комп'ютера , страхуючись про всяк випадок від вибриків техніки .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Як усі письменники , Чумак періодично скидав інформацію зі свого комп'ютера , страхуючись про всяк випадок від вибриків техніки .

### Entities:
PERS: Чумак"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Звісно , він не робив при цьому вибірки , що там з'явилося нового за останній час , а просто періодично раз на кілька місяців записував усе на компакт , і кожен наступний диск таким чином містив усю попередню його писанину плюс дописане за останні кілька місяців . Якимось шостим почуттям вона осягнула , що зараз відбудеться : дочекавшись пропозиції ставити запитання , жінка підведеться і виголосить щось абсолютно руйнівне — просто перед камери та мікрофони . Ярка відчула , як в неї запалали щоки ; вона не знала що робити — адже коли зараз вивести жінку без жодних пояснень , вона неодмінно зчинить галас .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Звісно , він не робив при цьому вибірки , що там з'явилося нового за останній час , а просто періодично раз на кілька місяців записував усе на компакт , і кожен наступний диск таким чином містив усю попередню його писанину плюс дописане за останні кілька місяців . Якимось шостим почуттям вона осягнула , що зараз відбудеться : дочекавшись пропозиції ставити запитання , жінка підведеться і виголосить щось абсолютно руйнівне — просто перед камери та мікрофони . Ярка відчула , як в неї запалали щоки ; вона не знала що робити — адже коли зараз вивести жінку без жодних пояснень , вона неодмінно зчинить галас .

### Entities:
PERIOD: кілька місяців
PERS: Якимось шостим почуттям
PERS: Ярка"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Заборонити їй говорити теж ніяк не можна .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Заборонити їй говорити теж ніяк не можна .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Лишалося одне ... Ярка швидко настукала повідомлення Насті , і за мить побачила , як її погляд спинився на телефоні .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Лишалося одне ... Ярка швидко настукала повідомлення Насті , і за мить побачила , як її погляд спинився на телефоні .

### Entities:
PERS: Ярка
PERS: Насті"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Насупившись , керівниця « маркетингу » , зиркнула на Ярку , впіймала її наполоханий погляд , кивнула і передала телефон ведучій , яка от-от мусила почати спілкування з аудиторією .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Насупившись , керівниця « маркетингу » , зиркнула на Ярку , впіймала її наполоханий погляд , кивнула і передала телефон ведучій , яка от-от мусила почати спілкування з аудиторією .

### Entities:
JOB: керівниця « маркетингу »
PERS: Ярку
JOB: ведучій"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
— А зараз ... — професійно швидко зреагувала та , — ми маємо час для ... для перерви на каву , після чого ми запросимо всіх на святковий концерт . Ярка зітхнула з полегшенням .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
— А зараз ... — професійно швидко зреагувала та , — ми маємо час для ... для перерви на каву , після чого ми запросимо всіх на святковий концерт . Ярка зітхнула з полегшенням .

### Entities:
PERS: Ярка"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Жінка з течкою невдоволено цикнула і склала папери .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Жінка з течкою невдоволено цикнула і склала папери .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Шеф , проте , поглянув грізно , не розуміючи , що спричинило зміну в програмі . Ярка знала , що мусить пересвідчитись у власному здогаді .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Шеф , проте , поглянув грізно , не розуміючи , що спричинило зміну в програмі . Ярка знала , що мусить пересвідчитись у власному здогаді .

### Entities:
PERS: Ярка"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Трохи пізніше , коли гості зібралися коло столика з наїдками , вона знайшла свою підозрілу гостю , і , необережно розвернувшись , добряче її штурхонула — канапка і течка з паперами полетіли на підлогу . Ярка тут-таки заходилася вибачатися та запопадливо підбирати розсипані аркуші .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Трохи пізніше , коли гості зібралися коло столика з наїдками , вона знайшла свою підозрілу гостю , і , необережно розвернувшись , добряче її штурхонула — канапка і течка з паперами полетіли на підлогу . Ярка тут-таки заходилася вибачатися та запопадливо підбирати розсипані аркуші .

### Entities:
PERS: Ярка"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
І от , лише одного погляду було досить , аби переконатися — серед паперів була добре знайома стаття Андрія Паладіна , цифри й висновки споживчих експертиз .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
І от , лише одного погляду було досить , аби переконатися — серед паперів була добре знайома стаття Андрія Паладіна , цифри й висновки споживчих експертиз .

### Entities:
PERS: Андрія Паладіна
JOB: споживчих експертиз"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
« Артурчик » , отже , знайшов собі помічницю .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
« Артурчик » , отже , знайшов собі помічницю .

### Entities:
PERS: Артурчик"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
І , схоже , відступати не планував .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
І , схоже , відступати не планував .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
* * * Ярці знову було страшно .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
* * * Ярці знову було страшно .

### Entities:
PERS: Ярці"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Дивна якась властивість характеру — вчинити щось , варте відрази чи страху та не відчути нічого особливого ; лише згодом належна емоція наздоганяла її , наче припливна хвиля , і підступно била в спину . « Синдром гальма » сміялася колись язиката Катруся ; ну що ж , може й так .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Дивна якась властивість характеру — вчинити щось , варте відрази чи страху та не відчути нічого особливого ; лише згодом належна емоція наздоганяла її , наче припливна хвиля , і підступно била в спину . « Синдром гальма » сміялася колись язиката Катруся ; ну що ж , може й так .

### Entities:
PERS: Катруся"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Але це ж треба !

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Але це ж треба !

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Іще вчора так гарно сиділося над лиманом при пиві , і , здавалося , сил та відваги стане , хоч би скільки знадобилося ; власне і те , що вчинила трохи згодом , теж занадто ризиковим не здавалося .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Іще вчора так гарно сиділося над лиманом при пиві , і , здавалося , сил та відваги стане , хоч би скільки знадобилося ; власне і те , що вчинила трохи згодом , теж занадто ризиковим не здавалося .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
А тепер-от вона не може примусити себе вийти з дому .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
А тепер-от вона не може примусити себе вийти з дому .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Коли пригадати , то нічого незвичайного вчора й не сталося — лише погляд , а можна подумати , вона досі похмурих поглядів не стрічала !

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Коли пригадати , то нічого незвичайного вчора й не сталося — лише погляд , а можна подумати , вона досі похмурих поглядів не стрічала !

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Вони верталися з Галею до села , і от , на Тупіковій — цей хлоп на ровері .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Вони верталися з Галею до села , і от , на Тупіковій — цей хлоп на ровері .

### Entities:
PERS: Галею
LOC: Тупіковій"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Неприємний , що аж ну ; очі невеличкі , зрощені брови , а губи — незвично яскраві як для чоловіка .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Неприємний , що аж ну ; очі невеличкі , зрощені брови , а губи — незвично яскраві як для чоловіка .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Глянув злісно якось , з-під лоба , Галя аж сахнулася .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Глянув злісно якось , з-під лоба , Галя аж сахнулася .

### Entities:
PERS: Галя"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
— Саня , Ігоря Приймака молодший брат , — похмуро пояснила вона . — Ігор — той падлючий був , а цей — просто злий .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
— Саня , Ігоря Приймака молодший брат , — похмуро пояснила вона . — Ігор — той падлючий був , а цей — просто злий .

### Entities:
PERS: Саня
PERS: Ігоря Приймака
PERS: Ігор"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Він мені раз дитину стусонув , аж вона упала і лоба собі розбила .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Він мені раз дитину стусонув , аж вона упала і лоба собі розбила .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
— А ровер ? — озирнувшись , поцікавилась Ярка . — Братів ?

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
— А ровер ? — озирнувшись , поцікавилась Ярка . — Братів ?

### Entities:
PERS: Ярка"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
— Ні , в того новий був , модний якийсь .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
— Ні , в того новий був , модний якийсь .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
А цей , бач , дідівська « Україна » . Ярка гмукнула .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
А цей , бач , дідівська « Україна » . Ярка гмукнула .

### Entities:
ART: Україна
PERS: Ярка"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Ровер , може й не той , проте погляд ... та і напрям руху — надвечір , до пагорбів , де не було вже житла , де з’являвся натомість примарний вогник ...

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Ровер , може й не той , проте погляд ... та і напрям руху — надвечір , до пагорбів , де не було вже житла , де з’являвся натомість примарний вогник ...

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Попрощавшись із Галею , Ярка навпростець побігла до берега .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Попрощавшись із Галею , Ярка навпростець побігла до берега .

### Entities:
PERS: Галею
PERS: Ярка"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Як лишень зважилась ?

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Як лишень зважилась ?

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Чи то просто напідпитку страху не мала ?

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Чи то просто напідпитку страху не мала ?

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Втім , дійшовши до вежі , пригальмувала розважливо , дочекавшись , поки ровер сховається за деревами , а тоді спустилася до води .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Втім , дійшовши до вежі , пригальмувала розважливо , дочекавшись , поки ровер сховається за деревами , а тоді спустилася до води .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Їй чутно було , як стежиною за пагорбами шарудять розхитані колеса , згодом десь за дальнім рудим гребенем звук пропав .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Їй чутно було , як стежиною за пагорбами шарудять розхитані колеса , згодом десь за дальнім рудим гребенем звук пропав .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Якраз тоді вже запали сутінки , і Ярка не ризикнула потикатися до сипкої ущелини .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Якраз тоді вже запали сутінки , і Ярка не ризикнула потикатися до сипкої ущелини .

### Entities:
PERS: Ярка"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Вона знайшла собі сховок за глинистим виріжком і зготувалася чекати ; втім , довго ждати їй не довелось — за кілька хвилин у хащах над нею блимнув вогник . Ярка переможно усміхнулася до себе ; отакі-то , значить , примари !

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Вона знайшла собі сховок за глинистим виріжком і зготувалася чекати ; втім , довго ждати їй не довелось — за кілька хвилин у хащах над нею блимнув вогник . Ярка переможно усміхнулася до себе ; отакі-то , значить , примари !

### Entities:
PERS: Ярка"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Чи то здибанка в Сані там , чи то сховок ...

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Чи то здибанка в Сані там , чи то сховок ...

### Entities:
PERS: Сані"
